Point,X,Y,Z
A1,-0.07000,0.50000,0.00000
A2,-0.07000,0.50000,0.01100
A3,-0.02002,0.50000,0.02292
A4,-0.01275,0.50000,0.02828
A5,-0.00954,0.50000,0.03671
A6,-0.00805,0.50000,0.06914
A7,-0.00864,0.50000,0.10160
A8,-0.01111,0.50000,0.10984
A9,-0.01726,0.50000,0.11587
A10,-0.03603,0.50000,0.12270
A11,-0.03499,0.50000,0.14360
A12,-0.03235,0.50000,0.15205
A13,-0.02492,0.50000,0.15685
A14,-0.02113,0.50000,0.15779
A15,-0.01728,0.50000,0.15844
A16,-0.01340,0.50000,0.15879
A17,-0.00950,0.50000,0.15885
A18,0.00000,0.50000,0.15900
A19,0.00950,0.50000,0.15885
A20,0.01340,0.50000,0.15879
A21,0.01728,0.50000,0.15844
A22,0.02113,0.50000,0.15779
A23,0.02492,0.50000,0.15685
A24,0.03235,0.50000,0.15205
A25,0.03499,0.50000,0.14360
A26,0.03603,0.50000,0.12270
A27,0.01726,0.50000,0.11587
A28,0.01111,0.50000,0.10984
A29,0.00864,0.50000,0.10160
A30,0.00805,0.50000,0.06914
A31,0.00954,0.50000,0.03671
A32,0.01275,0.50000,0.02828
A33,0.02002,0.50000,0.02292
A34,0.07000,0.50000,0.01100
A35,0.07000,0.50000,0.00000
A36,0.00000,0.50000,0.00000
B1,-0.07000,-0.50000,0.00000
B2,-0.07000,-0.50000,0.01100
B3,-0.02002,-0.50000,0.02292
B4,-0.01275,-0.50000,0.02828
B5,-0.00954,-0.50000,0.03671
B6,-0.00805,-0.50000,0.06914
B7,-0.00864,-0.50000,0.10160
B8,-0.01111,-0.50000,0.10984
B9,-0.01726,-0.50000,0.11587
B10,-0.03603,-0.50000,0.12270
B11,-0.03499,-0.50000,0.14360
B12,-0.03235,-0.50000,0.15205
B13,-0.02492,-0.50000,0.15685
B14,-0.02113,-0.50000,0.15779
B15,-0.01728,-0.50000,0.15844
B16,-0.01340,-0.50000,0.15879
B17,-0.00950,-0.50000,0.15885
B18,0.00000,-0.50000,0.15900
B19,0.00950,-0.50000,0.15885
B20,0.01340,-0.50000,0.15879
B21,0.01728,-0.50000,0.15844
B22,0.02113,-0.50000,0.15779
B23,0.02492,-0.50000,0.15685
B24,0.03235,-0.50000,0.15205
B25,0.03499,-0.50000,0.14360
B26,0.03603,-0.50000,0.12270
B27,0.01726,-0.50000,0.11587
B28,0.01111,-0.50000,0.10984
B29,0.00864,-0.50000,0.10160
B30,0.00805,-0.50000,0.06914
B31,0.00954,-0.50000,0.03671
B32,0.01275,-0.50000,0.02828
B33,0.02002,-0.50000,0.02292
B34,0.07000,-0.50000,0.01100
B35,0.07000,-0.50000,0.00000
B36,0.00000,-0.50000,0.00000
